artist,date,year,auction house,seller,Lot Number,Artwork Title,Measurements,purchaser,pounds,shillings,pence
"RYSBRACK, Pieter Andries",1/24/13,1913,Christie's,C. F. Southgate. ,,1875,7x32,Sampson,630,0,0
"MORLAND, George",6/4/04,1904,Christie's,J. Orrock. ,,1875,7x32,L. B.,1470,0,0
"RUSSELL, John",5/13/1899,1899,Christie's,Lord Methuen,9E,41031,880 4 x 47,Agnew,79,16,0
"SARTO, Adrea del, called Vannucchi",5/13/1899,1899,Christie's,Lord Methuen,9B,41196,,Lord Powerscourt,21,0,0
"ROMNEY, George",1/19/1901,1901,Christie's,,,,,Whittaker,42,0,0
"ROBERTS, David",12/19/1860,1860,Foster's,,,,,,,,
"POYNTER, Sir Edward",7/9/09,1909,Christie's,Sir C. Quilter,,,,Marks,1050,0,0
"RUSSELL, John",7/3/08,1908,Christie's,,,,,Colnaghi,367,10,0
"RUYSDAEL, Jacob",7/19/12,1912,Christie's,,,,,Evans,325,10,0
"MORLAND, George",7/19/1890,1890,Christie's,,,,,Vokins,136,10,0
"RAEBURN, Sir Henry",7/13/1895,1895,Christie's,,,,,Wallis,220,10,0
"REYNOLDS, Sir Joshua",7/13/1895,1895,Christie's,,,,,Keep,52,10,0
"RUSSELL, John",6/30/06,1906,Christie's,,,,,Agnew,220,10,0
"MABUSE, Jan (called Jan GOSSAERT)",6/27/1901,1901,Robinson and Fisher,,,,,Watson,147,0,0
"MARKS, Henry Stacey",6/21/1875,1875,Christie's,,,,,Mason,210,0,0
"PHILLIP, John",6/2/1888,1888,Christie's,,,,,Tooth,121,16,0
"LAWRENCE, Sir Thomas",6/18/1831,1831,Christie's,,,,,,103,19,0
"MARATTI, Carlo",5/9/1787,1787,Mr. Christie,,,,,,,,
"POOLE, Paul Falconer",5/8/1869,1869,Christie's,,,,,McLean,619,10,0
"ROMNEY, George",5/7/04,1904,Christie's,,,,,Lawrie,200,0,0
"LANDSEER, Sir Edwin",5/4/1867,1867,Christie's,,,,,E. White,60,18,0
"REYNOLDS, Sir Joshua",5/19/1899,1899,Christie's,,,,,Gutekunst,15,15,0
HALL,5/17/04,1904,Christie's,,,,,,157,10,0
"HARVEY, Sir George",4/13/1872,1872,Christie's,,,,,,130,5,0
"MARLOW, William",2/18/1791,1791,Greenwood,,,,,,,,
"PHILLIP, John",2/16/1867,1867,Christie's,,,,,,105,0,0
"ROMNEY, George",12/12/1903,1903,Christie's,,,,,Dowdeswell,273,0,0
"ROMNEY, George",12/12/1903,1903,Christie's,,,,,C. F. Murray,54,2,0
"SANT,James",11/5/1861,1861,Christie's,,,,,,60,18,0
"This includes Francis Mieris, the Elder, born 1635,ar|d Francis Mieris, the Younger, born 1689.",,,,,,,,,,,
"PICKENOY.SeeNicolaes (Pickenoy) Eliasz.Vol.I,page 254",,,,,,,,,,,
"RAPHAEL, Sanzio",5/13/1899,1899,Christie's,Lord Methuen,9A,-,,M. Colnaghi,357,0,0
"LANDSEER, Sir Edwin",5/20/1876,1876,Christie's,Gentleman,0,Boats leaving Gorleston,,Hariss,157,10,0
"NETSCHER, Gaspar",5/13/1846,1846,Phillips,Mons. Duval,0,Ensom),27. Group of four Figures. After Raphael,James,6,16,6
"LE SUEUR, Eustache",4/8/1788,1788,A Committee at Christie's,"Dr. Newton, etc",0,A Carmelite at Devotion,,,5,0,0
"POUSSIN, Nicholas",3/12/1795,1795,Mr. Christie,Sir J. Reynolds,0,"A Cock and Hen, etc",681 7x56,C. Davis,819,0,0
"RIGAUD, John Francis",4/4/1811,1811,Peter Coxe,"J. F. Rigaud, R.A",0,A Corps de Garde,,,,,
"LAURI, Philipo",6/1/1813,1813,Peter Coxe,John W. Willett,0,A Dutch Artist,,,,,
"LINTON, Sir James Dromgole R.",4/3/11,1911,Christie's,Dr. Dyce Brown,0,A Fete Champetre,1x61,Cohen,178,10,0
"HORSLEY, John Callcott",5/2/1891,1891,Christie's,H. W. F. Bolckow,0,A Gentleman,,Tack,3,15,0
"ROSA, Salvator",5/26/1810,1810,Mr. Christie,Marquess of Lansdowne,0,A Holy Family,,Heath,3,0,0
"KAUFFMANN, Angelica",5/20/1805,1805,Mr. Christie,Boydell Gallery,0,A Lady,,Moulton,11,0,6
"MOREELZE, Paul",5/21/1898,1898,Christie's,Joseph Ruston,0,A Lady,,,,,
"MULLER, William James",4/30/04,1904,Christie's,Joseph Gillott,0,A Lady,,,,,
"HORSLEY, John Callcott",2/25/1865,1865,Christie's,Samuel Cartwright,0,A Lady,,,,,
"NICOL, Erskine",6/26/1897,1897,Christie's,G. A. Baird,0,A Lady,,Spackman,1,3,0
"MUNKACSY, Michael (Lieb)",4/3/09,1909,Christie's,J.J.Brown,0,A Lady,,Stevens,0,13,0
"LANDSEER, Sir Edwin",12/20/1879,1879,Christie's,W. Cox,0,A Lady at her Toilet,5 x 33. Count Lecchi collection,,,,
"LAWRENCE, Sir Thomas",2/8/08,1908,Christie's,Duke of Sutherland,0,A LadyServant presenting Fruit. Small,,,,,
"LELY, Sir Peter",7/11/13,1913,Christie's,Duke of Sutherland,0,A Magdalen,,,,,
"LELY, Sir Peter",7/11/1835,1835,Christie's,John Nash,0,A Naval Officer.,,Agnew,52,10,0
"RUBENS, Sir Peter Paul",5/15/1841,1841,Christie's,Lady Stuart,0,A Nobleman,,,,,
"RUBENS, Sir Peter Paul",2/16/1776,1776,Mr. Christie,Lord Montfort,0,A Peasant Boy Lord Moray,,,168,0,0
"HOLBEIN, Hans, the Younger",5/31/1902,1902,Christie's,Sir Henry Bedingfield,0,A Piping Satyr. After Jordaens,,Pinney (Allnutt),11,0,6
"OSTADE, Adriaen van",5/31/1828,1828,Phillips,M. M. Zachary,0,A Portrait,2 x 25. Count Lecchi coll.,,,,
"JANSSEN, or JOHNSON, Cornelius",5/21/1892,1892,Christie's,Earl of Egremont,0,A Portrait dated 1557,,,,,
"LELY, Sir Peter",2/25/1806,1806,Peter Coxe,Marquess of Lansdowne,0,A Spaniel,,Bought in,304,10,0
"PHILLIP, John",3/27/1886,1886,Christie's,H. McConnell,0,A Spanish Nobleman,,,,,
"HEFFNER, Karl",6/24/1899,1899,Christie's,R. Paterson Pattison,0,A St. Agnes,,,0,13,0
"OAKES, John Wright",5/5/1883,1883,Christie's,McLean (?),0,A Young Lady,,,,,
"REYNOLDS, Sir Joshua",6/14/1876,1876,Christie's,Burke Family,0,A Young Officer. Small,,,25,4,0
"REYNOLDS, Sir Joshua",6/5/1813,1813,Mr. Christie,Dalton,0,Abraham restrained by Angel from offering Isaac,,,,,
"LAWRENCE, Sir Thomas",5/26/1894,1894,Christie's,Willes Family,0,Acropolis of Athens,843,Bought in,262,10,0
"MILLAIS, Sir John Everett",5/6/1882,1882,Christie's,Col. Arbuthnot,0,Actaeon,884 3 x 33!,Agnew,315,0,0
"PHILLIP, John",5/4/1878,1878,Christie's,F. T. Turner,0,Admiral Scraggs,,,2,2,0
"RUBENS, Sir Peter Paul",1791,1791,Private Sale,"R. Cosway, R.A",0,"Albert Diirer's Well, Nuremberg. Study",6 x 19,,210,0,0
"REYNOLDS, Sir Joshua",2/10/12,1912,Christie's,L. Lesser,0,Alexander Pope,,,9,19,6
"MOLA, Pietro Francesco",1791,1791,Private Sale,"R. Cosway, R.A",0,All Fours,,Permain,106,1,0
REMBRANDT VAN RHYN,5/9/1783,1783,"Great Room, King Street",Mr. Bertels,0,An African Lion W.,,C. Quilter,56,14,0
"LE NAIN, Antoine, Louis, and Mathieu",6/3/1814,1814,H. Phillips,A. Delahante,0,"An Italian Market, Convent, etc.",,Campbell,40,19,0
"PROUT, Samuel",4/23/1898,1898,Christie's,J. Grant Morris,0,"Anne, Marchioness Townshend, in White with Red Cloak. Pastel",,(?) National Gallery,1008,0,0
"POUSSIN, Gasper (Gaspard Dughet)",5/16/1801,1801,Mr. Christie,W. Young Ottley,0,Assumption of the Virgin,,Bought in,150,0,0
