id,artist,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1,"Rysbrack, Pieter Andries",,,,,,,,,,
2,"Morland, George",,,,,,,,,,
3,"Russell, John",,,,,,,,,,
4,"Sarto, Adrea Del, Called Vannucchi",,,,,,,,,,
5,"Romney, George",,,,,,,,,,
6,"Roberts, David",,,,,,,,,,
7,"Poynter, Sir Edward",,,,,,,,,,
8,"Ruysdael, Jacob",,,,,,,,,,
9,"Raeburn, Sir Henry",,,,,,,,,,
10,"Reynolds, Sir Joshua",,,,,,,,,,
11,"Mabuse, Jan (called Jan Gossaert)",,,,,,,,,,
12,"Marks, Henry Stacey",,,,,,,,,,
13,"Phillip, John",,,,,,,,,,
14,"Lawrence, Sir Thomas",,,,,,,,,,
15,"Maratti, Carlo",,,,,,,,,,
16,"Poole, Paul Falconer",,,,,,,,,,
17,"Landseer, Sir Edwin",,,,,,,,,,
18,Hall,,,,,,,,,,
19,"Harvey, Sir George",,,,,,,,,,
20,"Marlow, William",,,,,,,,,,
21,"Sant,james",,,,,,,,,,
22,"This Includes Francis Mieris, The Elder, Born 1635,ar|d Francis Mieris, The Younger, Born 1689.",,,,,,,,,,
23,"Pickenoy.Seenicolaes (pickenoy) Eliasz.Vol.I,page 254",,,,,,,,,,
24,"Raphael, Sanzio",,,,,,,,,,
25,"Netscher, Gaspar",,,,,,,,,,
26,"Le Sueur, Eustache",,,,,,,,,,
27,"Poussin, Nicholas",,,,,,,,,,
28,"Rigaud, John Francis",,,,,,,,,,
29,"Lauri, Philipo",,,,,,,,,,
30,"Linton, Sir James Dromgole R.",,,,,,,,,,
31,"Horsley, John Callcott",,,,,,,,,,
32,"Rosa, Salvator",,,,,,,,,,
33,"Kauffmann, Angelica",,,,,,,,,,
34,"Moreelze, Paul",,,,,,,,,,
35,"Muller, William James",,,,,,,,,,
36,"Nicol, Erskine",,,,,,,,,,
37,"Munkacsy, Michael (lieb)",,,,,,,,,,
38,"Lely, Sir Peter",,,,,,,,,,
39,"Rubens, Sir Peter Paul",,,,,,,,,,
40,"Holbein, Hans, The Younger",,,,,,,,,,
41,"Ostade, Adriaen Van",,,,,,,,,,
42,"Janssen, Or Johnson, Cornelius",,,,,,,,,,
43,"Heffner, Karl",,,,,,,,,,
44,"Oakes, John Wright",,,,,,,,,,
45,"Millais, Sir John Everett",,,,,,,,,,
46,"Mola, Pietro Francesco",,,,,,,,,,
47,Rembrandt Van Rhyn,,,,,,,,,,
48,"Le Nain, Antoine, Louis, And Mathieu",,,,,,,,,,
49,"Prout, Samuel",,,,,,,,,,
50,"Poussin, Gasper (gaspard Dughet)",,,,,,,,,,
51,"Howard, Henry",,,,,,,,,,
52,"Linnell, John",,,,,,,,,,
53,"Hogarth, William",,,,,,,,,,
54,"Mieris, William",,,,,,,,,,
55,"Leader, Benjamin Williams",,,,,,,,,,
56,"Mulready, William",,,,,,,,,,
57,"Opie, John",,,,,,,,,,
58,"Potter, Paul",,,,,,,,,,
59,"Schalken, Godfried",,,,,,,,,,
60,"Nazzari, Bartolommeo",,,,,,,,,,
61,"O'neill, George Bernard",,,,,,,,,,
62,"Israels, Josef",,,,,,,,,,
63,"Parmigiano, Il, Francesco Mazzuoli, Called",,,,,,,,,,
64,"Hunt, William Henry",,,,,,,,,,
65,"Hackaert, John",,,,,,,,,,
66,"Leslie, Charles Robert",,,,,,,,,,
67,"Holland, James",,,,,,,,,,
68,"Leighton, Lord (sir Frederick)",,,,,,,,,,
69,"Hondekoeter, Melchior",,,,,,,,,,
70,"Halswelle, Keeley",,,,,,,,,,
71,"Hals, Frank",,,,,,,,,,
72,"Ravenstein, Jan Van",,,,,,,,,,
73,"Hudson, Thomas",,,,,,,,,,
74,Kettle Tilly,,,,,,,,,,
75,Hook. James Clarke,,,,,,,,,,
76,"Peters, Rev. Matthew William",,,,,,,,,,
77,"Pocock, Nicholas",,,,,,,,,,
78,"Haag, Carl",,,,,,,,,,
79,"Lewis, John Frederick",,,,,,,,,,
80,"Mytens, Daniel",,,,,,,,,,
81,"Lonsdale, James",,,,,,,,,,
82,"Kneller, Sir Godfrey",,,,,,,,,,
83,Palma Vecchio (called Old Palma),,,,,,,,,,
84,"O'neil, Henry Nelson",,,,,,,,,,
85,"Macwhirter, John",,,,,,,,,,
86,"Rosalba, Carriera",,,,,,,,,,
87,"Ostade, Isaac",,,,,,,,,,
88,"Hine, Henry George",,,,,,,,,,
89,"Schreyer, Adolphe",,,,,,,,,,
90,"Metzu, Gabriel",,,,,,,,,,
91,"Mason, George Hemming",,,,,,,,,,
92,"Millet, J. P.",,,,,,,,,,
93,"Orchardson, Sir William Quiller",,,,,,,,,,
94,"Neefs, Peter",,,,,,,,,,
95,"Pannini, Giovanni Paulo",,,,,,,,,,
96,"Haghe, Louis",,,,,,,,,,
97,"Johnstone, Alexander",,,,,,,,,,
98,"Morland, Henry Robert",,,,,,,,,,
99,"Patel, Pierre And Pierre Antoine",,,,,,,,,,
100,"Murillo, Bartolom Estban",,,,,,,,,,
101,"Rossetti, Dante Gabriel",,,,,,,,,,
102,Polidoro Da Caravaggio,,,,,,,,,,
103,"Pordenone, Giovanni Antonio Licinio, Called",,,,,,,,,,
104,"Pourbus, Franz (elder And Younger)",,,,,,,,,,
105,"Jacquet, Gustave Jean",,,,,,,,,,
106,"Monticelli, Adolphe",,,,,,,,,,
107,"Jameson, George",,,,,,,,,,
108,"Hoppner, John",,,,,,,,,,
109,"Mieris, Francis",,,,,,,,,,
110,"Mireveldt, Michael Jansen",,,,,,,,,,
111,"Schall, Joseph",,,,,,,,,,
112,"Largilliere, Nicholas De.",,,,,,,,,,
113,"Lievens, Jan",,,,,,,,,,
114,"Moucheron, Isaac",,,,,,,,,,
115,"Nasmyth, Patrick",,,,,,,,,,
116,"Poelemberg, Cornelis",,,,,,,,,,
117,"Hondius, Abraham.",,,,,,,,,,
118,"Liotard, John Stephe",,,,,,,,,,
119,"Hunt, Alfred William",,,,,,,,,,
